positivity	majorType	cellType	newMajor	newCellType	Review	Comment	count	clusters		
CAIX_CD103_CD11b_CD31_CD38_CD45_CD56_CD66b_CD68_CD73_CLEC9a_GZMB_KIR2DL3_LAG3_MCT4_MPO_panactin_panCK_PDL1_TCRd_VISTA	Macrophages	Neutrophils	Ambiguous	Ambiguous	F	FastPG_False	Myeloid cells	4074	Myeloid cells	
CAIX_CD103_CD11b_CD38_CD45_CD56_CD68_CLEC9a_GZMB_KIR2DL3_LAG3_MCT4_MPO_panactin_panCK_PDL1_TCRd_VISTA	Macrophages	Neutrophils	Myeloid cells	Neutrophils	F	NA	4179	Excluded Myeloid cells		
CAIX_CD103_CD11b_CD45_CD56_CD66b_CLEC9a_GZMB_KIR2DL3_LAG3_MCT4_MPO_panCK_PDL1_TCRd_VISTA	Epithelial cells	Neutrophils	Myeloid cells	Neutrophils	F	FastPG_False	Myeloid cells	444	Myeloid cells	
CAIX_CD103_CD11b_CD45_CD68_CLEC9a_GZMB_KIR2DL3_LAG3_MCT4_MPO_panactin_panCK_PDL1_TCRd_VISTA	Macrophages	Neutrophils	Ambiguous	Ambiguous	F	FastPG_False	Myeloid cells	7937	Myeloid cells	
CAIX_CD103_CD11b_CD73_CLEC9a_GZMB_IDO_KIR2DL3_LAG3_MCT4_MPO_panactin_panCK_PDL1_TIM3_VISTA	Myeloid cells	Neutrophils	NA	NA	T	FastPG_False	Myeloid cells	2903	Myeloid cells	
CAIX_CD103_CD11b_CD73_CLEC9a_GZMB_IDO_LAG3_MCT4_MPO_panCK_PDL1	Ambiguous	Neutrophils	Myeloid cells	Neutrophils	F	NA	789	Myeloid cells		
CAIX_CD103_CD11b_CD73_CLEC9a_GZMB_IDO_LAG3_MCT4_MPO_panCK_PDL1	Myeloid cells	Neutrophils	Myeloid cells	Neutrophils	TRUE	Myeloid cells	789	Myeloid cells	"Vimentin,CD45,CD11b,CD66b,MPO"	
CAIX_CD103_CD11b_CD73_CLEC9a_GZMB_IDO_LAG3_MCT4_MPO_panCK_PDL1	Myeloid cells	Neutrophils	NA	NA	T					
CAIX_CD103_CD11c_CD14_CD16_CD163_CD20_CD3_CD31_CD38_CD4_CD45_CD56_CD66b_CD73_CD79a_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_MCT4_panCK_PD1_PDL1_TCRd_TIM3_VISTA	Ambiguous	Lymphocytes	Ambiguous	Ambiguous	F	flowSOM_NF	2	Excluded B cells		
CAIX_CD103_CD11c_CD14_CD16_CD163_CD20_CD3_CD31_CD38_CD45_CD56_CD66b_CD68_CD8a_IDO_KIR2DL3_LAG3_MCT4_MPO_panactin_panCK_PD1_PDL1_TCRd_TIM3	Macrophages	Cytotoxic lymphocytes	Ambiguous	Ambiguous	F	flowSOM_NF	1	CD8 T cells		
CAIX_CD103_CD11c_CD14_CD16_CD163_CD20_CD3_CD31_CD38_CD45_CD56_CD66b_CD73_CD79a_CD8a_CLEC9a_GZMB_IDO_KIR2DL3_LAG3_MCT4_MHCII_panactin_PD1_PDL1_TCRd_TIM3_VISTA	B cells	Cytotoxic lymphocytes	B cells	Plasma cells	F	check				
CAIX_CD103_CD11c_CD14_CD16_CD163_CD20_CD31_CD38_CD56_CD66b_CD73_CD79a_CD8a_CLEC9a_GZMB_IDO_KIR2DL3_LAG3_MCT4_MHCII_MPO_panactin_PD1_PDL1_TCRd_TIM3_VISTA	B cells	Lymphocytes	B cells	Plasma cells	F	FastPG_False	B cells	4121	B cells	
CAIX_CD103_CD11c_CD14_CD16_CD20_CD3_CD38_CD4_CD45_CD56_CD66b_CD73_CD79a_CLEC9a_IDO_KIR2DL3_LAG3_MHCII_panactin_PD1_PDL1_TCRd_TIM3_VISTA	B cells	Cytotoxic lymphocytes	Ambiguous	Ambiguous	F	Rpheno_NF	710	CD4 T cells		
CAIX_CD103_CD11c_CD14_CD16_CD20_CD31_CD38_CD56_CD66b_CD73_CD79a_CD8a_CLEC9a_GZMB_IDO_KIR2DL3_LAG3_MCT4_MHCII_panactin_PD1_PDL1_TCRd_TIM3_VISTA	B cells	Lymphocytes	B cells	Plasma cells	F	flowSOM_NF	660	B cells		
CAIX_CD103_CD11c_CD14_CD163_CD20_CD206_CD38_CD4_CD45_CD56_CD73_CD79a_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_MHCII_panactin_PD1_PDL1_TCRd_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	FastPG_False	Macrophages	1630	Macrophages	
CAIX_CD103_CD11c_CD14_CD163_CD20_CD3_CD31_CD38_CD56_CD66b_CD73_CD79a_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_MCT4_MHCII_panactin_PD1_PDL1_TCRd_TIM3_VISTA	B cells	Lymphocytes	B cells	Plasma cells	F	NA	B cells	11590		
CAIX_CD103_CD11c_CD14_CD163_CD20_CD3_CD31_CD38_CD56_CD66b_CD73_CD79a_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_MCT4_MHCII_panactin_PD1_PDL1_TCRd_TIM3_VISTA	B cells	Lymphocytes	B cells	Plasma cells	FALSE	B cells	11590	B cells	"Vimentin,CD45,CD79a,CD38"	
CAIX_CD103_CD11c_CD14_CD20_CD3_CD31_CD38_CD4_CD45_CD56_CD66b_CD73_CD79a_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_MHCII_panactin_PD1_PDL1_TCRd_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	321	Excluded CD8		
CAIX_CD103_CD11c_CD14_CD20_CD3_CD31_CD38_CD45_CD56_CD66b_CD73_CD79a_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_MHCII_panactin_PD1_PDL1_TCRd_TIM3_VISTA	B cells	Lymphocytes	B cells	Plasma cells	F	Rpheno_NF	13516	B cells	for comparison	
CAIX_CD103_CD11c_CD14_CD20_CD3_CD38_CD4_CD45_CD56_CD66b_CD73_CD79a_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_panactin_PD1_PDL1_TIM3_VISTA	B cells	Lymphocytes	B cells	Plasma cells	F	NA	223	Excluded CD8		
CAIX_CD103_CD11c_CD14_CD20_CD3_CD38_CD4_CD45_CD56_CD66b_CD73_CD79a_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_panactin_PD1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	FastPG_False	CD4 T cells	2341	CD4 T cells	
CAIX_CD103_CD11c_CD14_CD20_CD3_CD38_CD4_CD45_CD73_CD79a_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_MHCII_panactin_PD1_PDL1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	489	Excluded CD4		
CAIX_CD103_CD11c_CD14_CD20_CD3_CD38_CD4_CD45_CD73_CD79a_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_panactin_PD1_PDL1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	332	Excluded CD4_Excluded CD8		
CAIX_CD103_CD11c_CD14_CD20_CD3_CD4_CD45_CD73_CD79a_CD8a_CLEC9a_KIR2DL3_LAG3_panactin_PD1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	287	Excluded CD4		
CAIX_CD103_CD11c_CD14_CD20_CD3_CD4_CD45_CD79a_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_panactin_PD1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	296	CD4		
CAIX_CD103_CD11c_CD14_CD20_CD31_CD38_CD56_CD66b_CD73_CD79a_CD8a_CLEC9a_GZMB_IDO_KIR2DL3_LAG3_panactin_PD1_PDL1_TIM3_VISTA	B cells	Lymphocytes	B cells	Plasma cells	F	flowSOM_NF	2838	B cells		
CAIX_CD103_CD11c_CD14_CD20_CD4_CD45_CD56_CD79a_CD8a_KIR2DL3_LAG3_MCT4_panactin_PD1_PDL1_TCRd_TIM3_VISTA	Ambiguous	Lymphocytes	Ambiguous	Ambiguous	F	flowSOM_NF	1	Excluded CD8 T cells		
CAIX_CD103_CD11c_CD163_CD20_CD206_CD31_CD56_CD66b_CD68_CD73_CLEC9a_IDO_KIR2DL3_LAG3_MCT4_panCK_PDL1_TCRd_TIM3_VISTA	Ambiguous	M2	Ambiguous	Ambiguous	F	NA	LowerConf Macrophages	189		
CAIX_CD103_CD11c_CD163_CD20_CD206_CD31_CD56_CD66b_CD68_CD73_CLEC9a_IDO_KIR2DL3_LAG3_MCT4_panCK_PDL1_TCRd_TIM3_VISTA	Epithelial cells Region	M2	Ambiguous	Ambiguous	F	NA	89			
CAIX_CD103_CD11c_CD163_CD20_CD206_CD31_CD56_CD66b_CD68_CD73_CLEC9a_IDO_KIR2DL3_LAG3_MCT4_panCK_PDL1_TCRd_TIM3_VISTA	Macrophages	M2	Ambiguous	Ambiguous	F	NA	189	Excluded Macrophages		
CAIX_CD103_CD11c_CD163_CD20_CD206_CD31_CD56_CD66b_CD68_CD73_CLEC9a_IDO_KIR2DL3_LAG3_MCT4_panCK_PDL1_TCRd_TIM3_VISTA	Epithelial cells Region	M2	Ambiguous	Ambiguous	FALSE	LowerConf Macrophages	89	Excluded Macrophages		
CAIX_CD103_CD11c_CD163_CD20_CD206_CD38_CD4_CD45_CD56_CD73_CD79a_CD8a_CLEC9a_KIR2DL3_LAG3_panactin_PD1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F					
