positivity	majorType	cellType	newMajor	newCellType	Review	Comment	count	clusters
CD20_CD38_CD4_CD45_CD73_CD79a_CLEC9a_KIR2DL3_LAG3_panactin_PD1_TIM3	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	52	Excluded Leukocytes
CD20_CD38_CD66b_KIR2DL3_LAG3_PDL1_TCRd	B cells	Tgd	B cells	B cells	F	NA	14	Excluded B cells
CD20_CD38_CD79a	B cells	B cells	B cells	Plasma cells	F	NA	13414	B cells
CD20_CD38_CD79a_MHCII	B cells	B cells	B cells	Plasma cells	F	?	3062	B cells
CD20_CD4_CD45_CD79a_CD8a_panactin	B cells	B cells	NA	NA	T	?	11415	B cells
CD20_CD45_CD66b_CD79a	B cells	B cells	NA	NA	T	NA	310	B cells
CD20_CD45_CD73_CD79a_CD8a_CLEC9a_KIR2DL3_panactin	B cells	Lymphocytes	NA	NA	T	?	17581	Leukocytes
CD20_CD45_CD73_CD79a_CD8a_CLEC9a_LAG3_panactin_VISTA	B cells	B cells	NA	NA	T	?	17581	Leukocytes
CD20_CD45_CD73_CD79a_CLEC9a_LAG3_panactin	B cells	B cells	NA	NA	T	NA	103	Excluded Leukocytes
CD20_CD45_CD73_CD79a_CLEC9a_panactin	B cells	B cells	NA	NA	T	NA	495	Excluded Leukocytes
CD20_CD45_CD73_CD79a_CLEC9a_panactin_PD1	B cells	B cells	NA	NA	T	NA	162	Excluded Leukocytes
CD20_CD45_CD79a	B cells	B cells	NA	NA	T	NA	103	Excluded Leukocytes
CD20_CD45_CD79a_CD8a_panactin	B cells	B cells	Ambiguous	Ambiguous	F	NA	231	Excluded Leukocytes
CD20_CD45_CD79a_MHCII_panactin	B cells	B cells	NA	NA	T	NA	12777	B cells
CD20_CD45_CD79a_panactin	B cells	B cells	NA	NA	T	NA	16	Excluded B cells
CD20_CD45_CD79a_PDL1_VISTA	B cells	B cells	NA	NA	T	NA	27	Excluded B cells
CD20_CD68_CD79a	B cells	B cells	NA	NA	T	?	18033	B cells
CD20_CD68_CD79a_VISTA	B cells	B cells	NA	NA	T	NA	6772	B cells
CD20_CD79a	B cells	B cells	NA	NA	T	NA	63614	B cells
CD20_CD79a_CLEC9a_KIR2DL3_LAG3_panactin_panCK_TIM3_VISTA	B cells	B cells	Epithelial cells	Epithelial cells	F	NA	2764	Epithelial cells
CD20_CD79a_CLEC9a_LAG3_panactin_panCK_TIM3_VISTA	B cells	B cells	NA	NA	T	NA	2764	Epithelial cells
CD20_CD79a_IDO	B cells	B cells	NA	NA	T	NA	5493	B cells
CD20_CD79a_IDO_panCK_PDL1	B cells	B cells	NA	NA	T	NA	6770	B cells
CD20_CD79a_MHCII	B cells	B cells	NA	NA	T	NA	10654	B cells
CD20_CD79a_MHCII_panactin	B cells	B cells	NA	NA	T	NA	6777	B cells
CD20_CD79a_TIM3	B cells	B cells	NA	NA	T	NA	150	B cells
CD31_CD38_CD45_CD56_CD79a_CLEC9a_KIR2DL3_LAG3_VISTA	B cells	NK cells	B cells	B cells	F	NA	854	B cells
CD31_CD38_CD45_CD56_CD79a_CLEC9a_LAG3_VISTA	B cells	Endothelial cells	B cells	B cell lineage	F	NA	854	B cells
CD31_CD38_CD56_CD79a_CLEC9a_KIR2DL3_LAG3_PD1_VISTA	B cells	Endothelial cells	B cells	Plasma cells	F	NA	32	B cells
CD31_CD38_CD79a_KIR2DL3_LAG3_VISTA	B cells	Endothelial cells	B cells	Plasma cells	F	NA	10950	B cells
CD31_CD38_CD79a_VISTA	B cells	Endothelial cells	B cells	B cell lineage	F	NA	26865	B cells
CD56_MHCII_panactin_CD79a_CD20_CD11c_CD66b	B cells	B cells	NA	NA	TRUE		7797	B cells
CD79a	B cells	B cell lineage	NA	NA	TRUE		61459	B cells_Leukocytes
CD79a	B cells	B cell lineage	NA	NA	TRUE		96242	B cells
CD79a_CD14	B cells	B cells	B cells	B cell lineage	FALSE		3363	B cells
CD79a_CD20	B cells	B cells	NA	NA	TRUE		35293	B cells
CD79a_CD38	B cells	Plasma cells	NA	NA	TRUE		13414	B cells
CD79a_GZMB_MPO	B cells	B cells	NA	NA	T	NA	2550	B cells
CD79a_VISTA	B cells	B cell lineage	NA	NA	T	NA	8345	B cells
CLEC9a_CD11c_CD66b_TCRd	B cells	B cells	NA	NA	TRUE	Based on the clusterr	363	B cells
CLEC9a_KIR2DL3_VISTA_CD56_TIM3_CD45_MHCII_panactin_CD79a_CD14_CD20_CD73_CAIX_CD11c_LAG3	B cells	Lymphocytes	B cells	B cells	FALSE		495	Excluded Leukocytes
CLEC9a_KIR2DL3_VISTA_CD56_TIM3_CD79a_CD14_IDO_CD73_CD16_CD38_LAG3_MCT4	B cells	NK cells	B cells	B cells	FALSE		21398	B cells
CLEC9a_KIR2DL3_VISTA_CD56_TIM3_MHCII_panactin_CD79a_CD20_CD73_CAIX_CD11c_LAG3	B cells	Lymphocytes	B cells	B cells	FALSE	CD56 is noisy	561	B cells
CLEC9a_KIR2DL3_VISTA_CD56_TIM3_panactin_CD79a_CD14_CD20_CD4_IDO_CD73_CAIX_CD11c_CD11b_LAG3_PDL1	B cells	Lymphocytes	Ambiguous	Ambiguous	FALSE		301	Excluded Myeloid cells
CLEC9a_KIR2DL3_VISTA_TIM3_CD45_MHCII_panactin_CD79a_CD20_CD4_CD8a_PD1_CD73_CAIX_LAG3_CD103	B cells	Lymphocytes	Ambiguous	Ambiguous	FALSE		231	Excluded Leukocytes
