positive	OldMajorType	OldCellType	majorType	cellType	Review	Comment	mostLikelyCelltype	cellCount	clusters	cellType_markers	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
83	CAIX_CD103_CD11c_CD20_CD45_CD73_CD79a_CD8a_CLEC9a_KIR2DL3_LAG3_panactin_PD1_TIM3_VISTA	B cells	mDC	Ambiguous	Ambiguous	FALSE		Epithelial cells	6427	Epithelial cells		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
84	CD14_CD16_CD163_CD206_CD38_CD56_CD73_CD79a_CLEC9a_IDO_KIR2DL3_LAG3_panactin_PDL1_TCRd_TIM3_VISTA	Macrophages	Cytotoxic lymphocytes	Ambiguous	Ambiguous	FALSE	check	Macrophages	11903	Macrophages		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
85	CD31_panCK	Epithelial cells	Epithelial cells	Ambiguous	Ambiguous	FALSE	NA	Epithelial cells	25079	Epithelial cells		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
86	CD79a	B cells	B cell lineage	B cells	B cell lineage	TRUE		B cells	37423	B cells	Vimentin,CD45,CD79a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
87	CD20_CD45_CD79a_CD8a_PD1	Epithelial cells Region	B cells	B cells	B cells	FALSE	NA	LowerConf B cells	15	Excluded B cells	Vimentin,CD45,CD20,CD79a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
88	CD11c_CD20_CD66b_CD79a_MHCII_VISTA	B cells	B cells	B cells	B cells	NA	NA	LowerConf B cells	221	Excluded B cells	Vimentin,CD45,CD20,CD79a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
89	CD20_CD45_CD79a_panactin	B cells	B cells	B cells	B cells	TRUE	NA	LowerConf B cells	417	Excluded B cells	Vimentin,CD45,CD20,CD79a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
90	CD20_CD38_CD45_CD56_CD79a_CLEC9a_KIR2DL3_LAG3_TIM3	B cells	Lymphocytes	B cells	B cells	FALSE	NA	B cells	534	B cells	Vimentin,CD45,CD20,CD79a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
91	CD11c_CD20_CD79a_MHCII_panactin	B cells	B cells	B cells	B cells	TRUE	NA	LowerConf B cells	664	Excluded B cells	Vimentin,CD45,CD20,CD79a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
92	CD20_CD79a_MHCII	B cells	B cells	B cells	B cells	TRUE	NA	LowerConf B cells	1074	Excluded B cells	Vimentin,CD45,CD20,CD79a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
93	CD16_CD20_CD38_CD79a	B cells	B cells	B cells	B cells	TRUE		B cells	1080	B cells	Vimentin,CD45,CD20,CD79a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
94	CD20_CD79a_GZMB	B cells	B cells	B cells	B cells	TRUE		B cells	1193	B cells	Vimentin,CD45,CD20,CD79a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
95	CD11c_CD20_CD45_CD73_CD79a_CLEC9a_KIR2DL3_LAG3_panactin	B cells	mDC	B cells	B cells	FALSE		LowerConf B cells	1278	Excluded B cells	Vimentin,CD45,CD20,CD79a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
96	CD11c_CD20_CD45_CD66b_CD79a_MHCII_panactin	B cells	mDC	B cells	B cells	FALSE	NA	LowerConf B cells	2629	Excluded B cells	Vimentin,CD45,CD20,CD79a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
97	CD20_CD45_CD79a_CD8a	B cells	B cells	B cells	B cells	TRUE		CD8 T cells	3731	CD8 T cells	Vimentin,CD45,CD20,CD79a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
98	CD20_CD79a_CD8a_IDO	B cells	B cells	B cells	B cells	TRUE		B cells	5443	B cells	Vimentin,CD45,CD20,CD79a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
99	CD20_CD79a_IDO	B cells	B cells	B cells	B cells	TRUE	NA	B cells	6050	B cells	Vimentin,CD45,CD20,CD79a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
100	CD11c_CD20_CD45_CD79a_MHCII_panactin	B cells	mDC	B cells	B cells	FALSE	NA	B cells	6445	B cells	Vimentin,CD45,CD20,CD79a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
101	CD20_CD45_CD79a	B cells	B cells	B cells	B cells	TRUE	NA	B cells	6716	B cells	Vimentin,CD45,CD20,CD79a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
102	CD20_CD38_CD79a_MHCII	B cells	B cells	B cells	B cells	TRUE	?	B cells	7072	B cells	Vimentin,CD45,CD20,CD79a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
103	CD20_CD45_CD79a_MHCII_panactin	B cells	B cells	B cells	B cells	TRUE	NA	B cells|LowerConf B cells	7269	B cells_Excluded B cells	Vimentin,CD45,CD20,CD79a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
104	CD11c_CD20_CD79a_MHCII	B cells	B cells	B cells	B cells	TRUE		B cells	9428	B cells	Vimentin,CD45,CD20,CD79a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
105	CD20_CD68_CD79a	B cells	B cells	B cells	B cells	TRUE	?	B cells	11982	B cells	Vimentin,CD45,CD20,CD79a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
106	CD20_CD79a	B cells	B cells	B cells	B cells	TRUE	NA	B cells|LowerConf B cells	57961	B cells_Excluded B cells	Vimentin,CD45,CD20,CD79a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
107	CD14_CD206_CD4_CD68_IDO_PDL1	Epithelial cells Region	CD206+ Macrophages	Macrophages	CD206+ Macrophages	FALSE	NA	LowerConf Macrophages	189	Excluded Macrophages		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
108	CD20_CD4_CD45_PD1	Epithelial cells Region	B cells	CD4 T cells	CD4 T cells	FALSE	NA	LowerConf CD4 T cells	1	Excluded CD4 T cells	Vimentin,CD45,CD3,CD4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
109	CD20_CD3_CD4_CD45_panactin	Epithelial cells Region	B cells	CD4 T cells	CD4 T cells	FALSE	NA	LowerConf CD4 T cells	17	Excluded CD4 T cells	Vimentin,CD45,CD3,CD4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
110	CD3_CD31_CD4_CD45	Epithelial cells Region	Endothelial cells	CD4 T cells	CD4 T cells	FALSE	NA	LowerConf CD4 T cells	39	Excluded CD4 T cells	Vimentin,CD45,CD3,CD4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
