positive	OldMajorType	OldCellType	majorType	cellType	Review	Comment	mostLikelyCelltype	cellCount	clusters	cellType_markers	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
316	CD31_CD38_CD56_CD79a_CLEC9a_LAG3_VISTA	Epithelial cells Region	Endothelial cells	B cells	Plasma cells	FALSE	NA	LowerConf Endothelial cells	3	Excluded Endothelial cells	Vimentin,CD45,CD79a,CD38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
317	CD38_CD56_CD68_CD79a_CLEC9a_LAG3_VISTA	Epithelial cells Region	Plasma cells	B cells	Plasma cells	FALSE	NA	LowerConf B cells	7	Excluded B cells	Vimentin,CD45,CD79a,CD38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
318	CD38_CD79a_GZMB_LAG3_VISTA	B cells	Plasma cells	B cells	Plasma cells	TRUE	NA	LowerConf B cells	57	Excluded B cells	Vimentin,CD45,CD79a,CD38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
319	CD20_CD38_CD45_CD56_CD79a_CLEC9a_LAG3_VISTA	B cells	B cells	B cells	Plasma cells	FALSE		LowerConf B cells	689	Excluded B cells	Vimentin,CD45,CD79a,CD38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
320	CD31_CD38_CD56_CD79a_CLEC9a_IDO_KIR2DL3_LAG3_VISTA	B cells	Endothelial cells	B cells	Plasma cells	FALSE		B cells	1297	B cells	Vimentin,CD45,CD79a,CD38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
321	CD38_CD79a_LAG3_VISTA	B cells	Plasma cells	B cells	Plasma cells	TRUE		LowerConf B cells	1402	Excluded B cells	Vimentin,CD45,CD79a,CD38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
322	CD38_CD56_CD79a_KIR2DL3_LAG3_VISTA	B cells	Lymphocytes	B cells	Plasma cells	FALSE	NA	LowerConf B cells	1429	Excluded B cells	Vimentin,CD45,CD79a,CD38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
323	CD31_CD38_CD79a_VISTA	B cells	Endothelial cells	B cells	Plasma cells	FALSE	NA	B cells	1668	B cells	Vimentin,CD45,CD79a,CD38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
324	CD20_CD38_CD79a_GZMB_MPO	B cells	B cells	B cells	Plasma cells	FALSE		B cells	1856	B cells	Vimentin,CD45,CD79a,CD38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
325	CD11c_CD20_CD38_CD56_CD66b_CD79a_CLEC9a_KIR2DL3_LAG3_TCRd_VISTA	B cells	Cytotoxic lymphocytes	B cells	Plasma cells	FALSE	NA	LowerConf B cells	1992	Excluded B cells	Vimentin,CD45,CD79a,CD38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
326	CD38_CD56_CD79a_LAG3_VISTA	B cells	Plasma cells	B cells	Plasma cells	TRUE		LowerConf B cells	3490	Excluded B cells	Vimentin,CD45,CD79a,CD38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
327	CD11c_CD20_CD79a_IDO_MHCII_panactin_panCK_PDL1	B cells	B cells	B cells	Plasma cells	FALSE	VISTA on B cells?	B cells	3520	B cells	Vimentin,CD45,CD79a,CD38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
328	CD20_CD206_CD38_CD56_CD68_CD79a_LAG3_VISTA	B cells	B cells	B cells	Plasma cells	FALSE	CD20 transitional expression?	B cells	4970	B cells	Vimentin,CD45,CD79a,CD38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
329	CD20_CD38_CD79a	B cells	B cells	B cells	Plasma cells	FALSE	NA	B cells	10655	B cells	Vimentin,CD45,CD79a,CD38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
330	CAIX_CD103_CD11c_CD14_CD163_CD20_CD3_CD31_CD38_CD56_CD66b_CD73_CD79a_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_MCT4_MHCII_panactin_PD1_PDL1_TCRd_TIM3_VISTA	B cells	Lymphocytes	B cells	Plasma cells	FALSE	NA	B cells	11590	B cells	Vimentin,CD45,CD79a,CD38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
331	CD31_CD38_CD79a_LAG3_VISTA	B cells	Endothelial cells	B cells	Plasma cells	FALSE		B cells	17070	B cells	Vimentin,CD45,CD79a,CD38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
332	CD20_CD31_CD38_CD56_CD66b_CD79a_CLEC9a_IDO_KIR2DL3_LAG3_TIM3_VISTA	B cells	Lymphocytes	B cells	Plasma cells	FALSE		B cells	23573	B cells	Vimentin,CD45,CD79a,CD38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
333	CD3	T cells	T cells - Other	T cells - Other	T cells - Other	TRUE	NA	T cells|CD4 T cells	12031	T cells_CD4 T cells	Vimentin,CD45,CD3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
334	CD3_CD4_CD45_CD8a_panactin_PD1	Epithelial cells Region	T cells DP	T cells - Other	T cells DP	FALSE	NA	LowerConf CD8 T cells	26	Excluded CD8 T cells	Vimentin,CD45,CD3,CD4,CD8a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
335	CD103_CD3_CD4_CD45_CD8a	Ambiguous	CD8 Trm	T cells - Other	T cells DP	FALSE		LowerConf CD8 T cells	550	Excluded CD8 T cells	Vimentin,CD45,CD3,CD4,CD8a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
336	CD11c_CD3_CD4_CD45_CD66b_CD8a_IDO_MHCII_panactin_PDL1_TIM3	Ambiguous	mDC	T cells - Other	T cells DP	FALSE	NA	LowerConf CD4 T cells	884	Excluded CD4 T cells	Vimentin,CD45,CD3,CD4,CD8a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
337	CD4_CD8a_IDO_PD1	CD4 T cells	PD1+CD27+ CD8 T cells	T cells - Other	T cells DP	FALSE		CD4 T cells	1904	CD4 T cells	Vimentin,CD45,CD3,CD4,CD8a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
338	CD3_CD4_CD45_CD8a	CD8 T cells	T cells DP	T cells - Other	T cells DP	FALSE	check	CD8 T cells	9697	CD8 T cells	Vimentin,CD45,CD3,CD4,CD8a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
339	CD3_CD38_CD56_CD66b_CLEC9a_KIR2DL3_LAG3_MCT4_PDL1_TCRd	T cells	Cytotoxic lymphocytes	T cells - Other	Tgd	FALSE		LowerConf CD4 T cells	107	Excluded CD4 T cells	Vimentin,CD45,CD3,TCRd,KIR2DL3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
340	CD45_KIR2DL3_PDL1_TCRd	Leukocytes	Tgd	T cells - Other	Tgd	FALSE	NA	LowerConf CD4 T cells	812	Excluded CD4 T cells	Vimentin,CD45,CD3,TCRd,KIR2DL3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
341	CD3_TCRd	T cells	Tgd	T cells - Other	Tgd	TRUE	NA	LowerConf T cells	854	Excluded T cells	Vimentin,CD45,CD3,TCRd,KIR2DL3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
342	CD163_CD206_CD45_CLEC9a_KIR2DL3_TCRd	Macrophages	Tgd	Unassigned	Unassigned	FALSE	check most likely	LowerConf Macrophages	767	Excluded Macrophages		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
343	CLEC9a	Epithelial cells	Epithelial cells	Unassigned	Unassigned	FALSE		Epithelial cells	1008	Epithelial cells		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
344		Unassigned	Unassigned	Unassigned	Unassigned	TRUE		LowerConf Leukocytes|LowerConf LowerConf|LowerConf	2607	Excluded Leukocytes_Excluded Excluded_Excluded		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
345	CD206	Macrophages	CD206+ Macrophages	Unassigned	Unassigned	TRUE		Macrophages	3784	Macrophages		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
346	GZMB	Epithelial cells	Cytotoxic cells	Unassigned	Unassigned	FALSE		Epithelial cells	7915	Epithelial cells		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
347	CD56_CLEC9a_LAG3_panactin_TIM3	Epithelial cells	NK cells	Unassigned	Unassigned	FALSE		Epithelial cells	17405	Epithelial cells		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
348	CAIX	Epithelial cells	Epithelial cells	Unassigned	Unassigned	FALSE		Epithelial cells	18037	Epithelial cells		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
349	MPO	Epithelial cells	Neutrophils	Unassigned	Unassigned	FALSE	NA	Epithelial cells	20863	Epithelial cells		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
350	CD16	Epithelial cells	Epithelial cells	Unassigned	Unassigned	FALSE		Epithelial cells	29409	Epithelial cells		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
351	CD56	Epithelial cells	NK cells	Unassigned	Unassigned	FALSE		Epithelial cells	34760	Epithelial cells		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
352	CD38	Epithelial cells	Plasma cells	Unassigned	Unassigned	FALSE		Epithelial cells	38647	Epithelial cells		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
353	MHCII	Epithelial cells	Epithelial cells	Unassigned	Unassigned	FALSE		Epithelial cells	38719	Epithelial cells		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
354		Epithelial cells	Epithelial cells	Unassigned	Unassigned	FALSE		Epithelial cells	397721	Epithelial cells		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	positivity	majorType	cellType	newMajor	newCellType	Review	Comment	count	clusters		
